Name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
Korn - Coming Undone (Official Music Video)-CSJXle3LP_Q.mp3,148.02631578947367,445,0.6107903748945128,0.06564692407846451,3063.018524578091,3124.944421559673,6261.895591372363,0.07109891173115668,148.57066811472154,-63.5476249846727,47.289754975740856,-2.592823272720269,33.04152555357831,-7.991027222899319,18.70153661292682,3.9416019368001307,1.9233888298979762,14.120893204578616,-4.767101818368082,Metal
Tool - Forty Six & 2 (Live DVD 2014)-j2in3ptL7cM.mp3,107.666015625,312,0.49922401559869434,0.1790998876094818,3690.545376780832,2901.288475271025,6567.407510007498,0.11547539773002129,116.72169623147357,-76.79745613038504,81.55443108722709,-3.440250664654198,25.072433253809113,-10.903918476387245,19.5012357880296,-6.864286458828151,2.347902376737387,4.304757232225162,-4.1527017222912965,Metal
JINJER - Pisces (Live Session) _ Napalm Records-SQNtGoM3FVU.mp3,140.625,414,0.538081565183011,0.2073250710964203,3059.7108292353328,3635.194016089555,6748.433426167338,0.05452709283894288,134.05783827898114,-20.987188004073747,49.27552372943101,0.717565556727017,31.393540522812934,-8.64545485045677,15.136856301689605,-2.030561620569974,8.346611712406299,-4.055061291739354,3.8497843799961124,Metal
Tool - Schism-UhjG47gtMCo.mp3,106.13207547169812,300,0.5591979799292922,0.19780732691287994,1987.1926183446444,2490.3319771348674,4010.638721409102,0.03691621515021332,169.43575549805854,-33.95746875796928,37.86448810107714,12.819139765843934,32.0883310629815,2.4044470747554456,12.188603697156902,0.8598015464646485,1.4858298563611096,6.031414824983415,-1.949735863854013,Metal
SABATON - Bismarck (Official Music Video)-oVWEb-At8yc.mp3,95.703125,263,0.5579839226638933,0.1296384185552597,2844.9038006155756,3055.425708940742,5855.8007018854005,0.0661641564777638,138.7241718373121,-30.678185392921304,42.758860330303044,-12.735513256155606,16.69956497068361,-3.4390253443743233,8.280310300863231,-1.888970849398723,7.544714504541862,4.539969612510374,2.507954671033177,Metal
Motionless in White - Disguise [OFFICIAL VIDEO]-cIEc_11Aydc.mp3,104.16666666666667,311,0.5190759717737742,0.2745501399040222,3272.0423300382736,3377.572632565545,6687.793964061389,0.07000950869578099,134.24056238772246,-52.388614196386946,28.843999521695263,-24.766524547876255,26.44077569083323,-11.389355395213725,11.372379797461718,-3.22105693807246,8.112392883163208,-2.2883419594152516,5.283652532617651,Metal
Volbeat - Still Counting (Live from Wacken Open Air 2017)-R24bCFcdJ8Y.mp3,95.703125,293,0.4951913566962401,0.19099915027618408,3097.6093846063654,3434.3002984017553,6590.946256560807,0.06831509459252451,141.68736360406106,-45.508559213123284,36.168263225383335,-11.290544789651786,24.690294740563328,-20.06343547580799,23.60646723934107,-7.539781862924976,12.929668237354399,-0.03255903984790231,5.279590733902648,Metal
Five Finger Death Punch - Far From Home (Official Audio)-dMHhiMxGLU0.mp3,137.1951219512195,414,0.45426626078466154,0.2232905626296997,2988.7767374896143,3378.657692039208,6546.525946610571,0.060155723410834916,147.37118706923775,-37.18476961716972,45.8510862235866,-15.370570000613636,35.06189660095365,-11.930183785756485,16.431869825573653,1.2788658145680387,5.823722569017866,5.090259640665236,-0.38229731490730734,Metal
"Metallica - Blackened (Detroit, MI - July 12, 2017)-LjDmfU4zB7o.mp3",100.44642857142857,232,0.5560785391882892,0.16384440660476685,2548.6253988959857,2761.2968104966603,5187.831461839299,0.05350935801026606,152.55120394294457,-53.299465660124,42.07665924508431,1.0633074814346284,20.581685171921322,-3.3170223570195674,5.083957976970499,-1.0504242894480367,2.4664931357836717,5.944791743680874,6.4827438340493915,Metal
Staind - Right Here [OFFICIAL VIDEO]-b4_bl8uTonQ.mp3,112.5,338,0.5247981732342331,0.059410225600004196,2398.1834682237763,2445.65798800974,4760.835931944774,0.0653177149687426,165.91847908605553,-56.45839482976743,58.92187007137002,8.014893446895979,19.79860436020371,6.478814831829299,-5.0875184376861915,17.85972760462039,-10.586071558909238,11.037113620798973,2.8763177380636695,Metal
