name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
Aaron Lewis - 'Country Boy' (Official Video).mp3_part_0,125.0,59,0.4099493073058142,0.04460837319493294,2684.6783787693453,3327.070198892997,5616.759798258087,0.054826711362424466,150.3746820029126,-24.095401358614808,41.741827366402994,-12.544441963101425,28.14419410034853,-13.241322982664965,17.689332746377342,-4.589489974058237,3.2263900647219783,-4.043833489214672,4.592962094296245,Country
Aaron Lewis - 'Country Boy' (Official Video).mp3_part_1,119.6808510638298,58,0.4310259794490676,0.053246695548295975,2512.6200732640496,3235.7704913685097,4958.476826341985,0.053470355270174186,162.97712496637362,-19.804361949050847,29.105995495800762,-7.695438328239509,26.248571557647033,-13.276758186702551,15.34851748365884,1.977714361031632,0.8154865946969361,-3.7224812591367566,5.629055901337222,Country
Aaron Lewis - 'Country Boy' (Official Video).mp3_part_2,122.28260869565216,59,0.4121448380407327,0.06878217309713364,2998.4441020441595,3466.7829717299214,6078.969294347671,0.0680724468427835,152.62903499936536,-28.650860986491672,36.64345243447498,-11.062471111222877,28.77205460117073,-18.319342879030877,11.178653308144806,-6.798670118937245,2.469059027740005,-1.2288911298474157,10.05269682008965,Country
Aaron Lewis - 'Country Boy' (Official Video).mp3_part_3,122.28260869565216,60,0.4441661507880475,0.06679560989141464,2655.3266524521,3391.7232536630663,5624.541748133664,0.050295572453785985,158.98625106322137,-20.19341576625897,36.67540803682709,-7.856389627954105,27.634003883080034,-10.692984907261321,12.890847148068547,-4.2772228437093,6.024351553107952,0.13022956250826376,1.6669653640495663,Country
Aaron Lewis - 'Country Boy' (Official Video).mp3_part_4,122.28260869565216,60,0.4668979222973825,0.07666423171758653,3007.087096434239,3441.825995397749,6096.982758620688,0.06728977348471382,153.41676452180633,-38.5728117249405,40.22523624251033,-10.44121269352428,34.054399005200985,-17.073472514859354,12.64485474805382,-3.6483811495655067,3.667546189794472,-2.283970467846794,9.682852554280323,Country
Aaron Lewis - 'Country Boy' (Official Video).mp3_part_5,119.6808510638298,60,0.4344188917625186,0.07874918729066849,3073.7033397538435,3394.4087689272505,6402.986691254888,0.07022015530572343,148.52724005102968,-46.71008995472349,43.58866391409232,-15.04020379651068,32.23888233796351,-14.271147481109564,7.592473742882158,-8.36873052670608,3.8284312861677128,-2.0977405280270265,10.45147954043815,Country
Alan Jackson - Chattahoochee (Official Music Video).mp3_part_0,87.890625,29,0.5809644543017035,0.0724911019206047,2657.420084387441,2998.6860881596413,5769.332674191255,0.055686975093316736,139.024932068169,-23.770928122449828,41.83130861708221,0.18416527115087747,20.842363903460985,-2.634041091756977,4.311416137484244,2.5050559699967367,-0.8990447785604526,3.4881388942576024,-9.12871929768893,Country
Alan Jackson - Chattahoochee (Official Music Video).mp3_part_1,87.890625,41,0.4686520230106604,0.15196016430854795,2835.1358246280033,3218.1519189503,6114.604625844295,0.05832036110247067,155.4526668944681,-41.186928271430375,48.27652953794653,-14.784422546921133,37.09655066216919,-17.168591996835218,4.3281959480712535,7.696547680279455,-5.9138690172983575,4.9942844428745445,-5.830270963453647,Country
Alan Jackson - Chattahoochee (Official Music Video).mp3_part_2,87.890625,42,0.502027763573463,0.1497023105621338,2753.129298183674,3134.7948176855953,5896.368423391396,0.05692928895974049,157.54637490647536,-39.87834269398557,48.736026042682326,-13.272981921814791,32.660415336399645,-14.831373063735473,5.362270112917283,6.8954920004210045,-4.791110643182236,3.077783740374717,-8.093088581247189,Country
Alan Jackson - Chattahoochee (Official Music Video).mp3_part_3,87.890625,43,0.5065409874493563,0.15563611686229706,2801.136114509722,3201.9813178917952,5993.701119800924,0.05814869023284749,160.43881932289156,-42.046702070372696,47.65733228195497,-19.56227402165332,38.156083920762065,-17.263305335797828,2.5235698469556187,6.903562375357701,-5.584009017500908,4.201925198869882,-5.882840296805309,Country
Alan Jackson - Chattahoochee (Official Music Video).mp3_part_4,87.890625,42,0.46751824751971,0.14031583070755005,2891.2032478787496,3151.3297266601317,6178.968183434056,0.06356526200897618,153.25283744181004,-46.49372102273502,48.47799800699241,-16.836990090570758,30.941780055573037,-12.845662200857793,3.691028269410317,3.4155437012097867,-2.9032740438719853,5.1832683097589936,-9.084671115433768,Country
Alan Jackson - Chattahoochee (Official Music Video).mp3_part_5,87.890625,43,0.4806306314459255,0.13656704127788544,2872.8665640466675,3163.364414173552,6171.511175790971,0.06208739974004621,153.19081583334548,-45.84881634341455,49.111068791833446,-15.293155363070252,31.316964575375128,-11.73427569881022,6.122669149395953,2.237983855433052,-5.092785538179526,5.468242337146107,-8.579355777974119,Country
Alan Jackson - Country Boy (Official Music Video).mp3_part_0,140.625,67,0.5255539056231848,0.06695006787776947,2332.088199518106,2883.653629081004,4991.096027372912,0.04306248333629577,155.5992761552047,-26.72410961434491,52.58424563185473,-1.304908391213581,25.28308550336041,-3.9264700344562726,8.271382824496769,8.861964412358374,-3.0356307394426514,5.302040559601488,-2.5169588545273944,Country
Alan Jackson - Country Boy (Official Music Video).mp3_part_1,140.625,68,0.4482072371673614,0.09759818762540816,2412.449167344538,2842.995681879601,4866.459851581941,0.0520438727559545,167.9104096873045,-40.51622972096547,52.59732587152299,-8.093667975263656,25.69784576259889,-12.580137433787826,7.277618865162356,7.897644901415149,-5.944845152971501,4.579092669667041,-6.8579558187086995,Country
Alan Jackson - Country Boy (Official Music Video).mp3_part_2,140.625,67,0.4695759984000957,0.10282868146896362,2439.920433446391,2834.7570497797674,5019.474315677213,0.05229417547991468,172.2373747251846,-50.212734693231106,54.17927287763329,-9.984474625402695,29.252983992322413,-9.004376339988172,5.659298146438675,2.408523412975053,-4.534916816898499,6.8057280298327285,-6.653685875336613,Country
Alan Jackson - Country Boy (Official Music Video).mp3_part_3,140.625,69,0.4761545254856255,0.08685161918401718,2258.3910800504636,2766.7489175682863,4682.1592827941695,0.0463039209696054,165.31768438400738,-34.700260339159435,52.004328535328845,-3.1436068699980426,25.43945363972579,-5.249696538394606,8.288521168346035,7.179649647085428,-5.0088378827341415,4.885109573324153,-4.43163691985911,Country
Alan Jackson - Country Boy (Official Music Video).mp3_part_4,140.625,67,0.4108790685342179,0.10686749964952467,2446.082129255972,2940.526192794645,5275.9703830430135,0.0490730467361358,171.14513561404345,-42.142142874360474,57.72107126484023,-20.34132182048305,25.302740742540344,-9.316781825880721,5.755956922099657,4.160425203734471,-3.3710410139400184,9.56665491709952,-2.620246356972651,Country
